sample_id,state,district_location,latitude,longitude,elevation_m,landform_type,geological_formation,slope_degrees,aspect_degrees,aspect_cardinal,roughness_index_tri,landcover_class,soil_type,soil_moisture_pct,soil_ph,landslide_risk_level,landslide_susceptibility_score_10,soil_erosion_rate_t_ha_yr,seismic_zone,sensor_status
NER-TRN-ASS-0001,Assam,Guwahati,26.14516,91.73903,22.0,Alluvial Valley & Inselbergs,Brahmaputra Alluvium / Precambrian Gneiss,1.79,246.7,SW,8.81,Agricultural Paddy Land,Alluvial Silt Loam,34.2,6.29,Very Low Risk (Class 2),1.2,5.99,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0002,Assam,Guwahati,26.14811,91.73757,60.7,Alluvial Valley & Inselbergs,Brahmaputra Alluvium / Precambrian Gneiss,6.31,352.0,N,11.03,Settlement / Built-up,Alluvial Silt Loam,41.9,6.32,Low Risk (Class 1),3.4,9.97,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0003,Assam,Guwahati,26.14815,91.73387,54.4,Alluvial Valley & Inselbergs,Brahmaputra Alluvium / Precambrian Gneiss,5.99,297.5,NW,6.81,Settlement / Built-up,Alluvial Silt Loam,52.1,6.43,Low Risk (Class 1),1.0,12.41,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0004,Assam,Guwahati,26.159,91.73235,80.5,Alluvial Valley & Inselbergs,Brahmaputra Alluvium / Precambrian Gneiss,0.99,315.1,NW,3.57,Tea Plantation,Alluvial Silt Loam,42.3,5.92,Low Risk (Class 1),2.2,3.07,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0005,Assam,Guwahati,26.16024,91.72568,24.3,Alluvial Valley & Inselbergs,Brahmaputra Alluvium / Precambrian Gneiss,5.7,220.9,SW,9.68,Agricultural Paddy Land,Alluvial Silt Loam,52.6,5.16,Low Risk (Class 1),3.4,18.29,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0006,Assam,Guwahati,26.14989,91.74103,86.3,Alluvial Valley & Inselbergs,Brahmaputra Alluvium / Precambrian Gneiss,6.39,124.0,SE,13.82,Settlement / Built-up,Clayey Alluvium,29.5,5.82,Low Risk (Class 1),2.2,10.65,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0007,Assam,Guwahati,26.15929,91.73952,46.6,Alluvial Valley & Inselbergs,Brahmaputra Alluvium / Precambrian Gneiss,3.88,296.1,NW,4.57,Riverine Marsh / Wetlands,Red Sandy Clay,38.8,6.28,Very Low Risk (Class 2),2.2,7.46,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0008,Assam,Guwahati,26.14148,91.75365,68.9,Alluvial Valley & Inselbergs,Brahmaputra Alluvium / Precambrian Gneiss,3.06,294.0,NW,4.6,Riverine Marsh / Wetlands,Alluvial Silt Loam,36.8,5.66,Low Risk (Class 1),2.5,11.31,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0009,Assam,Guwahati,26.16352,91.7241,56.7,Alluvial Valley & Inselbergs,Brahmaputra Alluvium / Precambrian Gneiss,3.3,333.1,NW,10.06,Agricultural Paddy Land,Clayey Alluvium,65.1,4.9,Low Risk (Class 1),1.6,8.24,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0010,Assam,Guwahati,26.14182,91.74109,62.6,Alluvial Valley & Inselbergs,Brahmaputra Alluvium / Precambrian Gneiss,1.82,271.6,W,5.0,Agricultural Paddy Land,Red Sandy Clay,51.6,5.54,Low Risk (Class 1),2.8,3.77,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0011,Assam,Silchar,24.80507,92.78959,14.3,Barak River Floodplain,Surma Group Sandstone & Siltstone,2.02,120.5,SE,7.19,Settlement / Built-up,Alluvial Silt Loam,52.7,5.2,Very Low Risk (Class 2),1.4,7.24,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0012,Assam,Silchar,24.8257,92.81326,14.2,Barak River Floodplain,Surma Group Sandstone & Siltstone,4.97,241.2,SW,7.78,Tea Plantation,Red Sandy Clay,32.1,5.12,Very Low Risk (Class 2),1.3,8.91,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0013,Assam,Silchar,24.82004,92.80647,35.6,Barak River Floodplain,Surma Group Sandstone & Siltstone,6.37,332.7,NW,6.67,Riverine Marsh / Wetlands,Red Sandy Clay,49.6,5.07,Low Risk (Class 1),3.1,13.48,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0014,Assam,Silchar,24.82181,92.79265,44.8,Barak River Floodplain,Surma Group Sandstone & Siltstone,1.27,253.3,W,9.29,Settlement / Built-up,Clayey Alluvium,32.9,5.24,Low Risk (Class 1),3.0,2.97,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0015,Assam,Silchar,24.7984,92.78504,16.1,Barak River Floodplain,Surma Group Sandstone & Siltstone,3.49,67.8,E,6.91,Settlement / Built-up,Clayey Alluvium,53.6,6.28,Very Low Risk (Class 2),3.4,8.56,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0016,Assam,Silchar,24.81763,92.8086,63.0,Barak River Floodplain,Surma Group Sandstone & Siltstone,3.65,105.3,E,5.65,Tea Plantation,Alluvial Silt Loam,23.6,4.64,Low Risk (Class 1),1.6,11.55,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0017,Assam,Silchar,24.80636,92.79698,25.4,Barak River Floodplain,Surma Group Sandstone & Siltstone,3.89,11.7,N,9.06,Settlement / Built-up,Red Sandy Clay,26.4,5.08,Very Low Risk (Class 2),2.0,13.44,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0018,Assam,Silchar,24.80203,92.81037,11.9,Barak River Floodplain,Surma Group Sandstone & Siltstone,6.22,217.2,SW,7.04,Agricultural Paddy Land,Alluvial Silt Loam,54.7,4.75,Low Risk (Class 1),1.0,17.59,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0019,Assam,Silchar,24.81322,92.80725,54.1,Barak River Floodplain,Surma Group Sandstone & Siltstone,4.4,39.5,NE,8.01,Agricultural Paddy Land,Alluvial Silt Loam,31.1,4.58,Very Low Risk (Class 2),1.0,7.0,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0020,Assam,Silchar,24.81857,92.784,65.8,Barak River Floodplain,Surma Group Sandstone & Siltstone,1.58,263.6,W,4.04,Tea Plantation,Red Sandy Clay,53.0,5.79,Very Low Risk (Class 2),3.3,3.28,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0021,Assam,Dibrugarh,27.46417,94.90059,82.7,Upper Brahmaputra Floodplain,Quaternary Alluvium,24.29,255.7,W,25.91,Agricultural Paddy Land,Alluvial Silt Loam,54.5,6.33,Moderate Risk (Class 3),6.5,40.09,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0022,Assam,Dibrugarh,27.45435,94.92987,83.6,Upper Brahmaputra Floodplain,Quaternary Alluvium,11.84,320.3,NW,18.56,Riverine Marsh / Wetlands,Alluvial Silt Loam,22.1,4.7,Low Risk (Class 1),2.9,26.97,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0023,Assam,Dibrugarh,27.49074,94.90642,110.0,Upper Brahmaputra Floodplain,Quaternary Alluvium,13.75,303.1,NW,15.61,Agricultural Paddy Land,Clayey Alluvium,49.1,5.82,Very Low Risk (Class 2),3.5,17.37,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0024,Assam,Dibrugarh,27.45934,94.91397,122.3,Upper Brahmaputra Floodplain,Quaternary Alluvium,20.15,340.5,N,19.22,Settlement / Built-up,Alluvial Silt Loam,31.5,6.72,Moderate Risk (Class 3),5.4,24.82,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0025,Assam,Dibrugarh,27.47225,94.91465,131.4,Upper Brahmaputra Floodplain,Quaternary Alluvium,16.57,306.0,NW,19.86,Tea Plantation,Red Sandy Clay,51.5,6.25,High Risk (Class 4),6.8,61.81,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0026,Assam,Dibrugarh,27.48029,94.92587,123.5,Upper Brahmaputra Floodplain,Quaternary Alluvium,21.05,35.7,NE,22.96,Riverine Marsh / Wetlands,Alluvial Silt Loam,64.5,5.16,Moderate Risk (Class 3),5.9,78.96,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0027,Assam,Dibrugarh,27.46075,94.91305,104.6,Upper Brahmaputra Floodplain,Quaternary Alluvium,16.73,15.4,N,18.2,Riverine Marsh / Wetlands,Clayey Alluvium,62.5,5.59,High Risk (Class 4),5.9,29.4,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0028,Assam,Dibrugarh,27.4879,94.90309,128.3,Upper Brahmaputra Floodplain,Quaternary Alluvium,17.71,335.8,NW,16.92,Agricultural Paddy Land,Alluvial Silt Loam,52.3,5.87,High Risk (Class 4),4.5,65.95,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0029,Assam,Dibrugarh,27.47655,94.91889,138.6,Upper Brahmaputra Floodplain,Quaternary Alluvium,17.07,175.4,S,22.28,Settlement / Built-up,Alluvial Silt Loam,37.3,4.57,Moderate Risk (Class 3),4.5,60.1,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0030,Assam,Dibrugarh,27.46686,94.92784,75.0,Upper Brahmaputra Floodplain,Quaternary Alluvium,17.4,276.2,W,21.19,Agricultural Paddy Land,Red Sandy Clay,67.9,4.57,High Risk (Class 4),5.7,31.07,Zone V (Very High Risk),Active / Normal
