vehicle_telemetry_id,timestamp,registration_number,vehicle_type,vehicle_category,route_origin,route_destination,highway_corridor,current_state,route_progress_pct,current_status,speed_kmh,cargo_payload_tons,passenger_count,fuel_level_pct,engine_temp_c,continuous_driving_hours,driver_fatigue_alert,checkpost_ilp_status,gps_signal_status
VTL-NER-2026-0001,2026-08-25 13:30:00,AS-09-NN-6661,Emergency Relief Convoy / NDRF Truck,Emergency Services,Guwahati,Silchar,NH-27,Assam,61.0,In Transit / Moving,25.7,1.37,2,39.1,97.8,3.2,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0002,2026-08-25 13:30:00,AS-05-TQ-2852,Emergency Relief Convoy / NDRF Truck,Emergency Services,Guwahati,Shillong,NH-06,Assam,32.2,In Transit / Moving,35.4,2.28,3,16.5,83.6,6.3,Normal,N/A,Strong (4G/5G)
VTL-NER-2026-0003,2026-08-25 13:30:00,AS-06-JY-6169,Multi-Axle Container Truck,Cargo / Logistics,Guwahati,Itanagar,NH-15,Arunachal Pradesh,66.5,In Transit / Moving,46.0,10.52,3,53.8,92.4,5.9,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0004,2026-08-25 13:30:00,WB-08-AH-8997,Interstate Passenger Bus (ASTC/Private),Public Transit,Siliguri,Gangtok,NH-10,West Bengal,23.2,In Transit / Moving,37.0,10.3,3,76.6,95.4,4.3,Normal,N/A,Strong (4G/5G)
VTL-NER-2026-0005,2026-08-25 13:30:00,ML-03-ZF-9556,Interstate Passenger Bus (ASTC/Private),Public Transit,Shillong,Silchar,NH-06,Meghalaya,10.6,Halted / Landslide Blockade,0.0,10.02,3,33.4,77.0,1.4,Normal,Cleared,Satellite Fallback
VTL-NER-2026-0006,2026-08-25 13:30:00,NL-02-OE-6724,Interstate Passenger Bus (ASTC/Private),Public Transit,Kohima,Imphal,NH-02,Manipur,50.4,In Transit / Moving,42.2,8.56,2,37.2,91.4,6.9,Normal,Cleared,Moderate (3G)
VTL-NER-2026-0007,2026-08-25 13:30:00,AS-06-UG-1316,Multi-Axle Container Truck,Cargo / Logistics,Silchar,Aizawl,NH-306,Mizoram,85.2,In Transit / Moving,47.0,39.62,3,60.7,86.6,5.9,Normal,Pending Inspection,Satellite Fallback
VTL-NER-2026-0008,2026-08-25 13:30:00,AS-09-ZA-7848,Emergency Relief Convoy / NDRF Truck,Emergency Services,Guwahati,Dibrugarh,NH-27 / NH-15,Assam,39.9,In Transit / Moving,25.4,3.36,2,43.4,82.8,3.4,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0009,2026-08-25 13:30:00,AS-01-LI-9420,Emergency Relief Convoy / NDRF Truck,Emergency Services,Guwahati,Silchar,NH-27,Assam,90.2,In Transit / Moving,48.3,2.58,3,48.1,83.1,6.8,Normal,Cleared,Moderate (3G)
VTL-NER-2026-0010,2026-08-25 13:30:00,SK-05-UN-7615,Emergency Relief Convoy / NDRF Truck,Emergency Services,Gangtok,Mangan (North Sikkim),Indo-China Highway,Sikkim,35.5,Halted / Traffic Congestion,4.5,3.04,1,96.8,91.3,4.6,Normal,Customs/Inner Line Permit (ILP) Verification,Strong (4G/5G)
VTL-NER-2026-0011,2026-08-25 13:30:00,ML-09-PH-8503,Emergency Relief Convoy / NDRF Truck,Emergency Services,Shillong,Silchar,NH-06,Assam,54.4,In Transit / Moving,32.5,3.45,2,42.7,98.6,2.2,Normal,Pending Inspection,Strong (4G/5G)
VTL-NER-2026-0012,2026-08-25 13:30:00,AS-05-MV-9401,Multi-Axle Container Truck,Cargo / Logistics,Tezpur,Tawang,NH-13 (Trans-Arunachal),Assam,41.7,In Transit / Moving,49.6,16.58,3,74.2,90.5,8.9,Yes (Exceeded 8 hrs),Cleared,Strong (4G/5G)
VTL-NER-2026-0013,2026-08-25 13:30:00,SK-02-XB-9518,Border Roads Construction Dumper,Infrastructure,Gangtok,Mangan (North Sikkim),Indo-China Highway,Sikkim,83.4,Halted / Traffic Congestion,3.5,12.42,2,43.5,92.9,9.3,Yes (Exceeded 8 hrs),Cleared,Strong (4G/5G)
VTL-NER-2026-0014,2026-08-25 13:30:00,AS-01-FF-7281,Border Roads Construction Dumper,Infrastructure,Guwahati,Silchar,NH-27,Assam,8.2,In Transit / Moving,16.4,10.03,1,76.7,100.0,0.5,Normal,N/A,Strong (4G/5G)
VTL-NER-2026-0015,2026-08-25 13:30:00,NL-09-WO-8917,Interstate Passenger Bus (ASTC/Private),Public Transit,Kohima,Imphal,NH-02,Nagaland,37.5,Halted / Traffic Congestion,7.7,11.55,3,71.3,82.2,7.9,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0016,2026-08-25 13:30:00,AS-02-OO-5906,Emergency Relief Convoy / NDRF Truck,Emergency Services,Silchar,Aizawl,NH-306,Mizoram,59.1,In Transit / Moving,53.7,3.55,2,59.0,93.9,4.5,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0017,2026-08-25 13:30:00,ML-01-UX-1248,SUV / Tourist Taxi (Sumo/Innova),Passenger / Tourism,Shillong,Silchar,NH-06,Meghalaya,19.9,In Transit / Moving,44.9,1.23,38,75.8,89.2,7.0,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0018,2026-08-25 13:30:00,AS-01-YK-7123,SUV / Tourist Taxi (Sumo/Innova),Passenger / Tourism,Guwahati,Shillong,NH-06,Meghalaya,51.0,In Transit / Moving,53.1,0.81,17,65.2,95.5,5.7,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0019,2026-08-25 13:30:00,ML-08-XZ-8918,Interstate Passenger Bus (ASTC/Private),Public Transit,Shillong,Silchar,NH-06,Assam,66.9,In Transit / Moving,36.4,4.11,1,85.2,97.0,1.0,Normal,Cleared,Weak (Mountain Shadow)
VTL-NER-2026-0020,2026-08-25 13:30:00,AS-05-KF-1355,Heavy Freight Truck (10-Wheeler),Cargo / Logistics,Guwahati,Dibrugarh,NH-27 / NH-15,Assam,8.9,Halted / Traffic Congestion,5.4,10.47,1,58.6,88.6,3.3,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0021,2026-08-25 13:30:00,AS-01-GC-2732,Heavy Freight Truck (10-Wheeler),Cargo / Logistics,Guwahati,Shillong,NH-06,Assam,7.1,Halted / Landslide Blockade,0.0,6.02,2,47.0,86.4,4.4,Normal,Cleared,Satellite Fallback
VTL-NER-2026-0022,2026-08-25 13:30:00,AS-05-XH-6385,SUV / Tourist Taxi (Sumo/Innova),Passenger / Tourism,Guwahati,Silchar,NH-27,Assam,55.0,In Transit / Moving,38.8,0.77,41,72.7,83.2,3.2,Normal,Pending Inspection,Strong (4G/5G)
VTL-NER-2026-0023,2026-08-25 13:30:00,SK-09-PJ-6257,Multi-Axle Container Truck,Cargo / Logistics,Gangtok,Mangan (North Sikkim),Indo-China Highway,Sikkim,12.9,In Transit / Moving,22.8,9.83,3,82.2,84.0,3.3,Normal,Cleared,Moderate (3G)
VTL-NER-2026-0024,2026-08-25 13:30:00,NL-01-WA-5372,Fuel Tanker (POL),Hazardous Cargo,Kohima,Imphal,NH-02,Nagaland,29.7,In Transit / Moving,44.5,1.67,1,73.2,90.3,7.9,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0025,2026-08-25 13:30:00,SK-05-PO-7506,Heavy Freight Truck (10-Wheeler),Cargo / Logistics,Gangtok,Mangan (North Sikkim),Indo-China Highway,Sikkim,84.7,Halted / Traffic Congestion,8.5,0.99,2,81.6,91.8,3.6,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0026,2026-08-25 13:30:00,AS-09-OZ-5747,Heavy Freight Truck (10-Wheeler),Cargo / Logistics,Guwahati,Dibrugarh,NH-27 / NH-15,Assam,14.6,In Transit / Moving,36.3,10.28,2,81.5,88.1,1.0,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0027,2026-08-25 13:30:00,TR-07-ZG-5730,Fuel Tanker (POL),Hazardous Cargo,Agartala,Silchar,NH-08,Tripura,19.0,In Transit / Moving,15.6,14.94,2,81.3,82.2,4.2,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0028,2026-08-25 13:30:00,ML-02-UC-1066,SUV / Tourist Taxi (Sumo/Innova),Passenger / Tourism,Shillong,Silchar,NH-06,Assam,79.0,Halted / Landslide Blockade,0.0,1.27,38,32.1,80.6,3.8,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0029,2026-08-25 13:30:00,AS-07-VQ-8728,Heavy Freight Truck (10-Wheeler),Cargo / Logistics,Guwahati,Silchar,NH-27,Assam,61.3,In Transit / Moving,31.4,22.74,1,52.5,96.1,9.1,Yes (Exceeded 8 hrs),Pending Inspection,Moderate (3G)
VTL-NER-2026-0030,2026-08-25 13:30:00,TR-09-EP-6713,Fuel Tanker (POL),Hazardous Cargo,Agartala,Silchar,NH-08,Assam,75.0,Halted / Traffic Congestion,5.3,13.76,3,70.0,95.2,6.0,Normal,Customs/Inner Line Permit (ILP) Verification,Moderate (3G)
VTL-NER-2026-0031,2026-08-25 13:30:00,AS-04-XY-3700,Heavy Freight Truck (10-Wheeler),Cargo / Logistics,Guwahati,Dibrugarh,NH-27 / NH-15,Assam,68.6,Halted / Traffic Congestion,11.0,2.91,1,15.0,91.5,0.9,Normal,N/A,Weak (Mountain Shadow)
VTL-NER-2026-0032,2026-08-25 13:30:00,ML-09-PR-2228,Heavy Freight Truck (10-Wheeler),Cargo / Logistics,Shillong,Silchar,NH-06,Assam,56.9,In Transit / Moving,28.6,2.19,3,46.7,86.3,4.9,Normal,Cleared,Moderate (3G)
VTL-NER-2026-0033,2026-08-25 13:30:00,AR-04-VP-4840,SUV / Tourist Taxi (Sumo/Innova),Passenger / Tourism,Itanagar,Pasighat,NH-415 / NH-15,Arunachal Pradesh,61.5,In Transit / Moving,62.3,1.26,20,81.3,91.5,0.6,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0034,2026-08-25 13:30:00,WB-09-EH-3201,Fuel Tanker (POL),Hazardous Cargo,Siliguri,Gangtok,NH-10,Sikkim,75.5,In Transit / Moving,39.4,10.17,2,25.6,90.5,2.5,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0035,2026-08-25 13:30:00,NL-01-GJ-8235,Fuel Tanker (POL),Hazardous Cargo,Kohima,Imphal,NH-02,Manipur,92.4,In Transit / Moving,39.5,19.25,2,86.7,98.9,7.6,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0036,2026-08-25 13:30:00,AS-07-FA-7028,Multi-Axle Container Truck,Cargo / Logistics,Guwahati,Silchar,NH-27,Assam,79.1,In Transit / Moving,36.4,32.25,1,27.7,96.7,6.9,Normal,Pending Inspection,Strong (4G/5G)
VTL-NER-2026-0037,2026-08-25 13:30:00,AS-04-OW-9392,Emergency Relief Convoy / NDRF Truck,Emergency Services,Guwahati,Dibrugarh,NH-27 / NH-15,Assam,47.3,In Transit / Moving,41.6,5.04,2,86.6,91.0,7.7,Normal,Pending Inspection,Moderate (3G)
VTL-NER-2026-0038,2026-08-25 13:30:00,ML-03-TO-1097,Heavy Freight Truck (10-Wheeler),Cargo / Logistics,Shillong,Silchar,NH-06,Assam,64.1,In Transit / Moving,39.9,5.0,1,82.8,99.8,5.2,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0039,2026-08-25 13:30:00,AS-03-GG-6494,Heavy Freight Truck (10-Wheeler),Cargo / Logistics,Guwahati,Dibrugarh,NH-27 / NH-15,Assam,48.3,In Transit / Moving,45.5,24.51,1,27.1,97.2,4.5,Normal,Customs/Inner Line Permit (ILP) Verification,Strong (4G/5G)
VTL-NER-2026-0040,2026-08-25 13:30:00,AS-08-QL-5261,SUV / Tourist Taxi (Sumo/Innova),Passenger / Tourism,Tezpur,Tawang,NH-13 (Trans-Arunachal),Arunachal Pradesh,50.4,In Transit / Moving,68.1,1.08,34,37.7,96.4,4.5,Normal,Cleared,Weak (Mountain Shadow)
